Level,timestamp,Source,Event ID,eventtype,message
Information,27-12-2024,PowerShell,400,Engine Lifecycle,"Engine state is changed from None to Available. 

Details: 
	NewEngineState=Available
	PreviousEngineState=None

	SequenceNumber=13

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=b16af858-a1b8-4dfa-a121-abd772832842
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command try { . ""c:\Users\HP\AppData\Local\Programs\Microsoft VS Code\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1"" } catch {}
	EngineVersion=5.1.22621.4391
	RunspaceId=31d5c752-a050-4e8c-9477-50909f0c6921
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,27-12-2024,PowerShell,600,Provider Lifecycle,"Provider ""Variable"" is Started. 

Details: 
	ProviderName=Variable
	NewProviderState=Started

	SequenceNumber=11

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=b16af858-a1b8-4dfa-a121-abd772832842
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command try { . ""c:\Users\HP\AppData\Local\Programs\Microsoft VS Code\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1"" } catch {}
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,27-12-2024,PowerShell,600,Provider Lifecycle,"Provider ""Function"" is Started. 

Details: 
	ProviderName=Function
	NewProviderState=Started

	SequenceNumber=9

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=b16af858-a1b8-4dfa-a121-abd772832842
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command try { . ""c:\Users\HP\AppData\Local\Programs\Microsoft VS Code\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1"" } catch {}
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,27-12-2024,PowerShell,600,Provider Lifecycle,"Provider ""FileSystem"" is Started. 

Details: 
	ProviderName=FileSystem
	NewProviderState=Started

	SequenceNumber=7

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=b16af858-a1b8-4dfa-a121-abd772832842
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command try { . ""c:\Users\HP\AppData\Local\Programs\Microsoft VS Code\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1"" } catch {}
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,27-12-2024,PowerShell,600,Provider Lifecycle,"Provider ""Environment"" is Started. 

Details: 
	ProviderName=Environment
	NewProviderState=Started

	SequenceNumber=5

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=b16af858-a1b8-4dfa-a121-abd772832842
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command try { . ""c:\Users\HP\AppData\Local\Programs\Microsoft VS Code\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1"" } catch {}
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,27-12-2024,PowerShell,600,Provider Lifecycle,"Provider ""Alias"" is Started. 

Details: 
	ProviderName=Alias
	NewProviderState=Started

	SequenceNumber=3

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=b16af858-a1b8-4dfa-a121-abd772832842
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command try { . ""c:\Users\HP\AppData\Local\Programs\Microsoft VS Code\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1"" } catch {}
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,27-12-2024,PowerShell,600,Provider Lifecycle,"Provider ""Registry"" is Started. 

Details: 
	ProviderName=Registry
	NewProviderState=Started

	SequenceNumber=1

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=b16af858-a1b8-4dfa-a121-abd772832842
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command try { . ""c:\Users\HP\AppData\Local\Programs\Microsoft VS Code\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1"" } catch {}
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,27-12-2024,PowerShell,400,Engine Lifecycle,"Engine state is changed from None to Available. 

Details: 
	NewEngineState=Available
	PreviousEngineState=None

	SequenceNumber=13

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=5744d27d-de40-4343-a699-21e496c9ff41
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command try { . ""c:\Users\HP\AppData\Local\Programs\Microsoft VS Code\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1"" } catch {}
	EngineVersion=5.1.22621.4391
	RunspaceId=adeccf37-05a8-4331-bb33-67b9e61e508a
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,27-12-2024,PowerShell,600,Provider Lifecycle,"Provider ""Variable"" is Started. 

Details: 
	ProviderName=Variable
	NewProviderState=Started

	SequenceNumber=11

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=5744d27d-de40-4343-a699-21e496c9ff41
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command try { . ""c:\Users\HP\AppData\Local\Programs\Microsoft VS Code\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1"" } catch {}
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,27-12-2024,PowerShell,600,Provider Lifecycle,"Provider ""Function"" is Started. 

Details: 
	ProviderName=Function
	NewProviderState=Started

	SequenceNumber=9

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=5744d27d-de40-4343-a699-21e496c9ff41
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command try { . ""c:\Users\HP\AppData\Local\Programs\Microsoft VS Code\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1"" } catch {}
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,27-12-2024,PowerShell,600,Provider Lifecycle,"Provider ""FileSystem"" is Started. 

Details: 
	ProviderName=FileSystem
	NewProviderState=Started

	SequenceNumber=7

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=5744d27d-de40-4343-a699-21e496c9ff41
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command try { . ""c:\Users\HP\AppData\Local\Programs\Microsoft VS Code\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1"" } catch {}
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,27-12-2024,PowerShell,600,Provider Lifecycle,"Provider ""Environment"" is Started. 

Details: 
	ProviderName=Environment
	NewProviderState=Started

	SequenceNumber=5

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=5744d27d-de40-4343-a699-21e496c9ff41
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command try { . ""c:\Users\HP\AppData\Local\Programs\Microsoft VS Code\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1"" } catch {}
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,27-12-2024,PowerShell,600,Provider Lifecycle,"Provider ""Alias"" is Started. 

Details: 
	ProviderName=Alias
	NewProviderState=Started

	SequenceNumber=3

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=5744d27d-de40-4343-a699-21e496c9ff41
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command try { . ""c:\Users\HP\AppData\Local\Programs\Microsoft VS Code\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1"" } catch {}
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,27-12-2024,PowerShell,600,Provider Lifecycle,"Provider ""Registry"" is Started. 

Details: 
	ProviderName=Registry
	NewProviderState=Started

	SequenceNumber=1

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=5744d27d-de40-4343-a699-21e496c9ff41
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command try { . ""c:\Users\HP\AppData\Local\Programs\Microsoft VS Code\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1"" } catch {}
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,26-12-2024,PowerShell,400,Engine Lifecycle,"Engine state is changed from None to Available. 

Details: 
	NewEngineState=Available
	PreviousEngineState=None

	SequenceNumber=13

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=b5cc35bc-7047-4dc7-9029-9ac1582a1395
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=5.1.22621.4391
	RunspaceId=b2bae1be-9247-4f1f-969f-0e22775f1b84
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,26-12-2024,PowerShell,600,Provider Lifecycle,"Provider ""Variable"" is Started. 

Details: 
	ProviderName=Variable
	NewProviderState=Started

	SequenceNumber=11

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=b5cc35bc-7047-4dc7-9029-9ac1582a1395
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,26-12-2024,PowerShell,600,Provider Lifecycle,"Provider ""Function"" is Started. 

Details: 
	ProviderName=Function
	NewProviderState=Started

	SequenceNumber=9

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=b5cc35bc-7047-4dc7-9029-9ac1582a1395
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,26-12-2024,PowerShell,600,Provider Lifecycle,"Provider ""FileSystem"" is Started. 

Details: 
	ProviderName=FileSystem
	NewProviderState=Started

	SequenceNumber=7

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=b5cc35bc-7047-4dc7-9029-9ac1582a1395
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,26-12-2024,PowerShell,600,Provider Lifecycle,"Provider ""Environment"" is Started. 

Details: 
	ProviderName=Environment
	NewProviderState=Started

	SequenceNumber=5

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=b5cc35bc-7047-4dc7-9029-9ac1582a1395
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,26-12-2024,PowerShell,600,Provider Lifecycle,"Provider ""Alias"" is Started. 

Details: 
	ProviderName=Alias
	NewProviderState=Started

	SequenceNumber=3

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=b5cc35bc-7047-4dc7-9029-9ac1582a1395
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,26-12-2024,PowerShell,600,Provider Lifecycle,"Provider ""Registry"" is Started. 

Details: 
	ProviderName=Registry
	NewProviderState=Started

	SequenceNumber=1

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=b5cc35bc-7047-4dc7-9029-9ac1582a1395
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,26-12-2024,PowerShell,400,Engine Lifecycle,"Engine state is changed from None to Available. 

Details: 
	NewEngineState=Available
	PreviousEngineState=None

	SequenceNumber=13

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=9da067c1-0f58-4598-848e-d3f9a626c93c
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=5.1.22621.4391
	RunspaceId=a45e0abc-7211-4310-91b0-7b171eaf4344
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,26-12-2024,PowerShell,600,Provider Lifecycle,"Provider ""Variable"" is Started. 

Details: 
	ProviderName=Variable
	NewProviderState=Started

	SequenceNumber=11

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=9da067c1-0f58-4598-848e-d3f9a626c93c
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,26-12-2024,PowerShell,600,Provider Lifecycle,"Provider ""Function"" is Started. 

Details: 
	ProviderName=Function
	NewProviderState=Started

	SequenceNumber=9

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=9da067c1-0f58-4598-848e-d3f9a626c93c
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,26-12-2024,PowerShell,600,Provider Lifecycle,"Provider ""FileSystem"" is Started. 

Details: 
	ProviderName=FileSystem
	NewProviderState=Started

	SequenceNumber=7

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=9da067c1-0f58-4598-848e-d3f9a626c93c
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,26-12-2024,PowerShell,600,Provider Lifecycle,"Provider ""Environment"" is Started. 

Details: 
	ProviderName=Environment
	NewProviderState=Started

	SequenceNumber=5

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=9da067c1-0f58-4598-848e-d3f9a626c93c
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,26-12-2024,PowerShell,600,Provider Lifecycle,"Provider ""Alias"" is Started. 

Details: 
	ProviderName=Alias
	NewProviderState=Started

	SequenceNumber=3

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=9da067c1-0f58-4598-848e-d3f9a626c93c
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,26-12-2024,PowerShell,600,Provider Lifecycle,"Provider ""Registry"" is Started. 

Details: 
	ProviderName=Registry
	NewProviderState=Started

	SequenceNumber=1

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=9da067c1-0f58-4598-848e-d3f9a626c93c
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,26-12-2024,PowerShell,400,Engine Lifecycle,"Engine state is changed from None to Available. 

Details: 
	NewEngineState=Available
	PreviousEngineState=None

	SequenceNumber=13

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=dde7126b-5de0-4bf4-a30a-ffb518b89649
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=5.1.22621.4391
	RunspaceId=b4e554f3-c672-438c-8f60-34edc45e1883
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,26-12-2024,PowerShell,600,Provider Lifecycle,"Provider ""Variable"" is Started. 

Details: 
	ProviderName=Variable
	NewProviderState=Started

	SequenceNumber=11

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=dde7126b-5de0-4bf4-a30a-ffb518b89649
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,26-12-2024,PowerShell,600,Provider Lifecycle,"Provider ""Function"" is Started. 

Details: 
	ProviderName=Function
	NewProviderState=Started

	SequenceNumber=9

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=dde7126b-5de0-4bf4-a30a-ffb518b89649
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,26-12-2024,PowerShell,600,Provider Lifecycle,"Provider ""FileSystem"" is Started. 

Details: 
	ProviderName=FileSystem
	NewProviderState=Started

	SequenceNumber=7

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=dde7126b-5de0-4bf4-a30a-ffb518b89649
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,26-12-2024,PowerShell,600,Provider Lifecycle,"Provider ""Environment"" is Started. 

Details: 
	ProviderName=Environment
	NewProviderState=Started

	SequenceNumber=5

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=dde7126b-5de0-4bf4-a30a-ffb518b89649
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,26-12-2024,PowerShell,600,Provider Lifecycle,"Provider ""Alias"" is Started. 

Details: 
	ProviderName=Alias
	NewProviderState=Started

	SequenceNumber=3

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=dde7126b-5de0-4bf4-a30a-ffb518b89649
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,26-12-2024,PowerShell,600,Provider Lifecycle,"Provider ""Registry"" is Started. 

Details: 
	ProviderName=Registry
	NewProviderState=Started

	SequenceNumber=1

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=dde7126b-5de0-4bf4-a30a-ffb518b89649
	HostApplication=C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,26-12-2024,PowerShell,403,Engine Lifecycle,"Engine state is changed from Available to Stopped. 

Details: 
	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=15

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=180f1a8d-ce49-4698-b9c7-b470d16fa4c5
	HostApplication=powershell.exe -ExecutionPolicy Restricted -Command Write-Host 'Final result: 1';
	EngineVersion=5.1.22621.4391
	RunspaceId=f3f63e1c-f2e9-4267-88d3-5bafd3ab50ca
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,26-12-2024,PowerShell,400,Engine Lifecycle,"Engine state is changed from None to Available. 

Details: 
	NewEngineState=Available
	PreviousEngineState=None

	SequenceNumber=13

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=180f1a8d-ce49-4698-b9c7-b470d16fa4c5
	HostApplication=powershell.exe -ExecutionPolicy Restricted -Command Write-Host 'Final result: 1';
	EngineVersion=5.1.22621.4391
	RunspaceId=f3f63e1c-f2e9-4267-88d3-5bafd3ab50ca
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
